FilmID;FilmName;FilmReleaseDate;FilmOscarWins
1;Jurassic Park;1993-07-16 00:00:00.000;3
2;Spider-Man;2002-06-14 00:00:00.000;0
3;King Kong;2005-12-15 00:00:00.000;3
5;Superman Returns;2006-07-16 00:00:00.000;0
6;Titanic;1998-01-23 00:00:00.000;11
7;Evan Almighty;2007-08-03 00:00:00.000;0
8;Waterworld;1995-08-11 00:00:00.000;0
9;Pearl Harbor;2001-06-01 00:00:00.000;1
10;Transformers;2007-07-27 00:00:00.000;0
11;Harry Potter and the Order of the Phoenix;2007-07-12 00:00:00.000;0
12;Beowulf;2007-11-16 00:00:00.000;0
13;Bee Movie;2007-12-14 00:00:00.000;0
14;Pirates of the Caribbean: At World's End;2007-05-24 00:00:00.000;0
15;I am Legend;2007-12-26 00:00:00.000;0
16;Ratatouille;2007-10-12 00:00:00.000;1
17;Troy;2004-05-21 00:00:00.000;0
18;Harry Potter and the Goblet of Fire;2005-11-18 00:00:00.000;0
19;Batman Begins;2005-06-16 00:00:00.000;0
20;Charlie and the Chocolate Factory;2005-07-29 00:00:00.000;0
21;Pirates of the Caribbean: Dead Man's Chest;2006-07-06 00:00:00.000;1
22;Die Another Day;2002-11-20 00:00:00.000;0
23;Lethal Weapon 4;1998-09-18 00:00:00.000;0
24;Armageddon;1998-08-07 00:00:00.000;0
25;Men in Black 2;2002-08-02 00:00:00.000;0
26;Spider-Man 3;2007-05-04 00:00:00.000;0
27;Spider-Man 2;2004-07-16 00:00:00.000;1
28;Stealth;2005-08-05 00:00:00.000;0
29;Final Fantasy: The Spirits Within;2001-08-03 00:00:00.000;0
30;Miami Vice;2006-08-04 00:00:00.000;0
31;The World Is Not Enough;1999-11-26 00:00:00.000;0
32;Master and Commander: The Far Side of the World;2003-11-28 00:00:00.000;2
33;War of the Worlds;2005-07-01 00:00:00.000;0
34;The Bourne Ultimatum;2007-08-17 00:00:00.000;3
35;Harry Potter and the Prisoner of Azkaban;2004-05-31 00:00:00.000;0
36;The Matrix Reloaded;2003-05-21 00:00:00.000;0
37;The Da Vinci Code;2006-05-19 00:00:00.000;0
38;Harry Potter and the Philosopher's Stone;2001-11-16 00:00:00.000;0
39;The Day After Tomorrow;2004-05-27 00:00:00.000;0
40;Pirates of the Caribbean: Curse of the Black Pearl;2003-08-08 00:00:00.000;0
41;The Last Samurai;2004-01-09 00:00:00.000;0
42;The Perfect Storm;2000-07-28 00:00:00.000;0
43;Mission: Impossible III;2006-05-04 00:00:00.000;0
44;Mission: Impossible II;2000-07-07 00:00:00.000;0
45;Windtalkers;2002-08-30 00:00:00.000;0
46;Star Wars: Episode II - Attack of the Clones;2002-05-16 00:00:00.000;0
47;Monsters, Inc.;2002-02-08 00:00:00.000;1
48;Star Wars: Episode I - The Phantom Menace;1999-07-16 00:00:00.000;0
49;Star Wars: Episode III - Revenge of the Sith;2005-05-19 00:00:00.000;0
50;The Matrix Revolutions;2003-11-05 00:00:00.000;0
51;Tomorrow Never Dies;1997-12-12 00:00:00.000;0
52;Ocean's Eleven;2002-02-15 00:00:00.000;0
53;Live Free or Die Hard;2007-07-04 00:00:00.000;0
54;Around the World in 80 Days;2004-07-09 00:00:00.000;0
55;Kingdom of Heaven;2005-05-06 00:00:00.000;0
56;Mr. and Mrs. Smith;2005-06-10 00:00:00.000;0
57;The Aviator;2005-01-06 00:00:00.000;5
58;Ali;2002-02-22 00:00:00.000;0
59;The Lord of the Rings: Fellowship of the Ring;2001-12-19 00:00:00.000;4
60;I, Robot;2004-08-06 00:00:00.000;0
61;Casino Royale;2006-11-16 00:00:00.000;0
62;Minority Report;2002-07-04 00:00:00.000;0
63;Terminator 2: Judgement Day;1991-08-16 00:00:00.000;6
64;Catwoman;2004-08-13 00:00:00.000;0
65;Harry Potter and the Chamber of Secrets;2002-11-15 00:00:00.000;0
66;American Gangster;2007-11-16 00:00:00.000;0
67;Blood Diamond;2007-01-26 00:00:00.000;0
68;Gladiator;2000-05-12 00:00:00.000;5
69;True Lies;1994-08-12 00:00:00.000;0
70;Gangs of New York;2003-01-09 00:00:00.000;0
71;Black Hawk Down;2002-01-18 00:00:00.000;2
72;The Fifth Element;1997-06-06 00:00:00.000;0
73;The Lord of the Rings: Return of the King;2003-12-17 00:00:00.000;11
74;The Lord of the Rings: The Two Towers;2002-12-18 00:00:00.000;2
75;Rush Hour 3;2007-08-10 00:00:00.000;0
76;Rush Hour 2;2001-08-03 00:00:00.000;0
77;Men in Black;1997-08-01 00:00:00.000;1
78;The Departed;2006-10-06 00:00:00.000;4
79;Die Hard: With A Vengeance;1995-08-18 00:00:00.000;0
80;Cinderella Man;2005-09-09 00:00:00.000;0
81;The Bourne Supremacy;2004-08-13 00:00:00.000;0
82;Last Action Hero;1993-07-30 00:00:00.000;0
83;Cast Away;2001-01-12 00:00:00.000;0
84;Ocean's Twelve;2005-02-04 00:00:00.000;0
85;Click;2006-09-29 00:00:00.000;0
86;Bruce Almighty;2003-06-27 00:00:00.000;0
87;Mission: Impossible;1996-07-05 00:00:00.000;0
88;Deep Impact;1998-05-15 00:00:00.000;0
89;Road to Perdition;2002-09-27 00:00:00.000;1
90;A Beautiful Mind;2002-02-22 00:00:00.000;4
91;Children of Men;2006-09-22 00:00:00.000;0
92;Munich;2006-01-27 00:00:00.000;0
93;Independence Day;1996-08-09 00:00:00.000;1
94;X-Men;2000-08-18 00:00:00.000;0
95;X2;2003-05-01 00:00:00.000;0
96;The Rock;1996-06-21 00:00:00.000;0
97;Constantine;2005-03-18 00:00:00.000;0
98;Unbreakable;2000-12-29 00:00:00.000;0
99;Talladega Nights: The Ballad of Ricky Bobby;2006-09-15 00:00:00.000;0
100;The Simpsons Movie;2007-07-25 00:00:00.000;0
101;Braveheart;1995-09-08 00:00:00.000;5
102;Jarhead;2006-01-13 00:00:00.000;0
103;The Village;2004-08-20 00:00:00.000;0
104;Shrek the Third;2007-06-29 00:00:00.000;0
105;Shrek 2;2004-07-02 00:00:00.000;0
106;The Abyss;1989-10-13 00:00:00.000;1
107;Star Trek: Insurrection;1999-01-01 00:00:00.000;0
